Item,Supplier,Description,Price,Origin,Destination
Widget 1,Global Parts,Rubber gasket kit,16.30,Girona,Madrid
Widget 2,North Supply,Aluminum heat sink,9.60,Barcelona,Barcelona
Widget 3,Acme Corp,Plastic housing cover,14.80,Madrid,Girona
Widget 4,Global Parts,Copper wire spool,16.30,Girona,Madrid
Widget 5,North Supply,Stainless bolt set,9.60,Barcelona,Barcelona
Widget 6,Acme Corp,Ceramic insulator,14.80,Madrid,Girona
Widget 7,Global Parts,Silicone sealant,16.30,Girona,Madrid
Widget 8,North Supply,Carbon fiber sheet,12.50,Barcelona,Madrid
Widget 9,Acme Corp,Nylon cable tie pack,14.80,Madrid,Girona
Widget 10,Global Parts,Steel mounting bracket,16.30,Girona,Madrid
Widget 11,North Supply,Rubber gasket kit,9.60,Barcelona,Barcelona
Widget 12,Acme Corp,Aluminum heat sink,14.80,Madrid,Girona
Widget 13,Global Parts,Plastic housing cover,16.30,Girona,Madrid
Widget 14,North Supply,Copper wire spool,9.60,Barcelona,Barcelona
Widget 15,Acme Corp,Stainless bolt set,14.80,Madrid,Girona
Widget 16,Global Parts,Ceramic insulator,16.30,Girona,Madrid
Widget 17,North Supply,Silicone sealant,9.60,Barcelona,Barcelona
Widget 18,Acme Corp,Carbon fiber sheet,14.80,Madrid,Girona
Widget 19,Global Parts,Nylon cable tie pack,16.30,Girona,Madrid
Widget 20,North Supply,Steel mounting bracket,12.50,Barcelona,Madrid
Widget 21,Acme Corp,Rubber gasket kit,14.80,Madrid,Girona
Widget 22,Global Parts,Aluminum heat sink,16.30,Girona,Madrid
Widget 23,North Supply,Plastic housing cover,9.60,Barcelona,Barcelona
Widget 24,Acme Corp,Copper wire spool,14.80,Madrid,Girona
Widget 25,Global Parts,Stainless bolt set,16.30,Girona,Madrid
Widget 26,North Supply,Ceramic insulator,9.60,Barcelona,Barcelona
Widget 27,Acme Corp,Silicone sealant,14.80,Madrid,Girona
Widget 28,Global Parts,Carbon fiber sheet,16.30,Girona,Madrid
Widget 29,North Supply,Nylon cable tie pack,9.60,Barcelona,Barcelona
Widget 30,Acme Corp,Steel mounting bracket,14.80,Madrid,Girona
Widget 31,Global Parts,Rubber gasket kit,16.30,Girona,Madrid
Widget 32,North Supply,Aluminum heat sink,12.50,Barcelona,Madrid
Widget 33,Acme Corp,Plastic housing cover,14.80,Madrid,Girona
Widget 34,Global Parts,Copper wire spool,16.30,Girona,Madrid
Widget 35,North Supply,Stainless bolt set,9.60,Barcelona,Barcelona
Widget 36,Acme Corp,Ceramic insulator,14.80,Madrid,Girona
Widget 37,Global Parts,Silicone sealant,16.30,Girona,Madrid
Widget 38,North Supply,Carbon fiber sheet,9.60,Barcelona,Barcelona
Widget 39,Acme Corp,Nylon cable tie pack,14.80,Madrid,Girona
Widget 40,Global Parts,Steel mounting bracket,16.30,Girona,Madrid
Widget 41,North Supply,Rubber gasket kit,9.60,Barcelona,Barcelona
Widget 42,Acme Corp,Aluminum heat sink,14.80,Madrid,Girona
Widget 43,Global Parts,Plastic housing cover,16.30,Girona,Madrid
Widget 44,North Supply,Copper wire spool,12.50,Barcelona,Madrid
Widget 45,Acme Corp,Stainless bolt set,14.80,Madrid,Girona
Widget 46,Global Parts,Ceramic insulator,16.30,Girona,Madrid
Widget 47,North Supply,Silicone sealant,9.60,Barcelona,Barcelona
Widget 48,Acme Corp,Carbon fiber sheet,14.80,Madrid,Girona
Widget 49,Global Parts,Nylon cable tie pack,16.30,Girona,Madrid
Widget 50,North Supply,Steel mounting bracket,9.60,Barcelona,Barcelona
Widget 51,Acme Corp,Rubber gasket kit,14.80,Madrid,Girona
Widget 52,Global Parts,Aluminum heat sink,16.30,Girona,Madrid
Widget 53,North Supply,Plastic housing cover,9.60,Barcelona,Barcelona
Widget 54,Acme Corp,Copper wire spool,14.80,Madrid,Girona
Widget 55,Global Parts,Stainless bolt set,16.30,Girona,Madrid
Widget 56,North Supply,Ceramic insulator,12.50,Barcelona,Madrid
Widget 57,Acme Corp,Silicone sealant,14.80,Madrid,Girona
Widget 58,Global Parts,Carbon fiber sheet,16.30,Girona,Madrid
Widget 59,North Supply,Nylon cable tie pack,9.60,Barcelona,Barcelona
Widget 60,Acme Corp,Steel mounting bracket,14.80,Madrid,Girona
Widget 61,Global Parts,Rubber gasket kit,16.30,Girona,Madrid
Widget 62,North Supply,Aluminum heat sink,9.60,Barcelona,Barcelona
Widget 63,Acme Corp,Plastic housing cover,14.80,Madrid,Girona
Widget 64,Global Parts,Copper wire spool,16.30,Girona,Madrid
Widget 65,North Supply,Stainless bolt set,9.60,Barcelona,Barcelona
Widget 66,Acme Corp,Ceramic insulator,14.80,Madrid,Girona
Widget 67,Global Parts,Silicone sealant,16.30,Girona,Madrid
Widget 68,North Supply,Carbon fiber sheet,12.50,Barcelona,Madrid
Widget 69,Acme Corp,Nylon cable tie pack,14.80,Madrid,Girona
Widget 70,Global Parts,Steel mounting bracket,16.30,Girona,Madrid
Widget 71,North Supply,Rubber gasket kit,9.60,Barcelona,Barcelona
Widget 72,Acme Corp,Aluminum heat sink,14.80,Madrid,Girona
Widget 73,Global Parts,Plastic housing cover,16.30,Girona,Madrid
Widget 74,North Supply,Copper wire spool,9.60,Barcelona,Barcelona
Widget 75,Acme Corp,Stainless bolt set,14.80,Madrid,Girona
Widget 76,Global Parts,Ceramic insulator,16.30,Girona,Madrid
Widget 77,North Supply,Silicone sealant,9.60,Barcelona,Barcelona
Widget 78,Acme Corp,Carbon fiber sheet,14.80,Madrid,Girona
Widget 79,Global Parts,Nylon cable tie pack,16.30,Girona,Madrid
Widget 80,North Supply,Steel mounting bracket,12.50,Barcelona,Madrid
Widget 81,Acme Corp,Rubber gasket kit,14.80,Madrid,Girona
Widget 82,Global Parts,Aluminum heat sink,16.30,Girona,Madrid
Widget 83,North Supply,Plastic housing cover,9.60,Barcelona,Barcelona
Widget 84,Acme Corp,Copper wire spool,14.80,Madrid,Girona
Widget 85,Global Parts,Stainless bolt set,16.30,Girona,Madrid
Widget 86,North Supply,Ceramic insulator,9.60,Barcelona,Barcelona
Widget 87,Acme Corp,Silicone sealant,14.80,Madrid,Girona
Widget 88,Global Parts,Carbon fiber sheet,16.30,Girona,Madrid
Widget 89,North Supply,Nylon cable tie pack,9.60,Barcelona,Barcelona
Widget 90,Acme Corp,Steel mounting bracket,14.80,Madrid,Girona
Widget 91,Global Parts,Rubber gasket kit,16.30,Girona,Madrid
Widget 92,North Supply,Aluminum heat sink,12.50,Barcelona,Madrid
Widget 93,Acme Corp,Plastic housing cover,14.80,Madrid,Girona
Widget 94,Global Parts,Copper wire spool,16.30,Girona,Madrid
Widget 95,North Supply,Stainless bolt set,9.60,Barcelona,Barcelona
Widget 96,Acme Corp,Ceramic insulator,14.80,Madrid,Girona
Widget 97,Global Parts,Silicone sealant,16.30,Girona,Madrid
Widget 98,North Supply,Carbon fiber sheet,9.60,Barcelona,Barcelona
Widget 99,Acme Corp,Nylon cable tie pack,14.80,Madrid,Girona
Widget 100,Global Parts,Steel mounting bracket,16.30,Girona,Madrid
